title,description,category,is_coherent
"Community hall booking issue","Community hall booking process is complicated and discriminatory","parks-recreation","1"
"Urgent: bus stop broken on lane","Urgent repair needed for bus stop broken on lane which is causing accidents","road-transportation","1"
"Urgent: road flooding on highway","The road flooding on highway has been creating problems for commuters for weeks","road-transportation","1"
"Road Debris near highway","The road debris on highway has been creating problems for commuters for weeks","road-transportation","1"
"Urgent: footpath broken on hospital road","Urgent repair needed for footpath broken on hospital road which is causing accidents","road-transportation","1"
"Road Construction Delay on school zone","The road construction delay on school zone has been creating problems for commuters for weeks","road-transportation","1"
"Flyover Problem - highway","The condition of highway is very poor due to flyover problem affecting daily travel","road-transportation","1"
"Road Cave-In at market area","The condition of market area is very poor due to road cave-in affecting daily travel","road-transportation","1"
"Complaint about speed breaker damage near hospital road","There is a major speed breaker damage on hospital road causing traffic problems and vehicle damage","road-transportation","1"
"Problem with speed breaker damage on bus route","Urgent repair needed for speed breaker damage on bus route which is causing accidents","road-transportation","1"
"Problem with vehicle parking illegal on commercial area","The condition of commercial area is very poor due to vehicle parking illegal affecting daily travel","road-transportation","1"
"Bus Stop Broken at commercial area","There is a major bus stop broken on commercial area causing traffic problems and vehicle damage","road-transportation","1"
"Road Flooding in lane","Urgent repair needed for road flooding on lane which is causing accidents","road-transportation","1"
"Manhole Cover Missing near main road","The condition of main road is very poor due to manhole cover missing affecting daily travel","road-transportation","1"
"Road Marking Missing in residential street","road marking missing on residential street is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Damage in commercial area","There is a major road damage on commercial area causing traffic problems and vehicle damage","road-transportation","1"
"Road Damage at hospital road","There is a major road damage on hospital road causing traffic problems and vehicle damage","road-transportation","1"
"Road Debris on highway","Urgent repair needed for road debris on highway which is causing accidents","road-transportation","1"
"Complaint about road cave-in near hospital road","Urgent repair needed for road cave-in on hospital road which is causing accidents","road-transportation","1"
"Flyover Problem in school zone","There is a major flyover problem on school zone causing traffic problems and vehicle damage","road-transportation","1"
"Problem with bridge crack on commercial area","The bridge crack on commercial area has been creating problems for commuters for weeks","road-transportation","1"
"Urgent: road cave-in on hospital road","Urgent repair needed for road cave-in on hospital road which is causing accidents","road-transportation","1"
"Complaint about road digging unauthorized near commercial area","Urgent repair needed for road digging unauthorized on commercial area which is causing accidents","road-transportation","1"
"Vehicle Parking Illegal at hospital road","The condition of hospital road is very poor due to vehicle parking illegal affecting daily travel","road-transportation","1"
"Urgent: traffic signal not working on highway","The condition of highway is very poor due to traffic signal not working affecting daily travel","road-transportation","1"
"Problem with road digging unauthorized on residential street","The condition of residential street is very poor due to road digging unauthorized affecting daily travel","road-transportation","1"
"Problem with pothole on school zone","There is a major pothole on school zone causing traffic problems and vehicle damage","road-transportation","1"
"Problem with road flooding on bus route","The condition of bus route is very poor due to road flooding affecting daily travel","road-transportation","1"
"Zebra Crossing Faded at lane","zebra crossing faded on lane is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Urgent: bus stop broken on housing society","The condition of housing society is very poor due to bus stop broken affecting daily travel","road-transportation","1"
"Problem with zebra crossing faded on housing society","zebra crossing faded on housing society is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Construction Delay at bus route","road construction delay on bus route is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Zebra Crossing Faded on commercial area","The condition of commercial area is very poor due to zebra crossing faded affecting daily travel","road-transportation","1"
"Problem with road construction delay on school zone","Urgent repair needed for road construction delay on school zone which is causing accidents","road-transportation","1"
"Road Construction Delay - school zone","Urgent repair needed for road construction delay on school zone which is causing accidents","road-transportation","1"
"Speed Breaker Damage at main road","speed breaker damage on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Street Vendor Blocking Road at hospital road","Urgent repair needed for street vendor blocking road on hospital road which is causing accidents","road-transportation","1"
"Issue of road damage at highway","There is a major road damage on highway causing traffic problems and vehicle damage","road-transportation","1"
"Complaint about traffic signal not working near hospital road","There is a major traffic signal not working on hospital road causing traffic problems and vehicle damage","road-transportation","1"
"Problem with road debris on hospital road","road debris on hospital road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Complaint about road damage near residential street","There is a major road damage on residential street causing traffic problems and vehicle damage","road-transportation","1"
"Problem with street vendor blocking road on commercial area","street vendor blocking road on commercial area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of street vendor blocking road at commercial area","The street vendor blocking road on commercial area has been creating problems for commuters for weeks","road-transportation","1"
"Problem with manhole cover missing on housing society","Urgent repair needed for manhole cover missing on housing society which is causing accidents","road-transportation","1"
"Urgent: bridge crack on bus route","The condition of bus route is very poor due to bridge crack affecting daily travel","road-transportation","1"
"Issue of road flooding at main road","The road flooding on main road has been creating problems for commuters for weeks","road-transportation","1"
"Complaint about bus stop broken near highway","The bus stop broken on highway has been creating problems for commuters for weeks","road-transportation","1"
"Road Damage in bus route","road damage on bus route is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Complaint about manhole cover missing near main road","manhole cover missing on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Bus Stop Broken near main road","The condition of main road is very poor due to bus stop broken affecting daily travel","road-transportation","1"
"Speed Breaker Damage at hospital road","There is a major speed breaker damage on hospital road causing traffic problems and vehicle damage","road-transportation","1"
"Urgent: bridge crack on highway","bridge crack on highway is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Street Vendor Blocking Road - school zone","street vendor blocking road on school zone is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Digging Unauthorized - residential street","The condition of residential street is very poor due to road digging unauthorized affecting daily travel","road-transportation","1"
"Footpath Broken on bus route","footpath broken on bus route is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Urgent: vehicle parking illegal on lane","The vehicle parking illegal on lane has been creating problems for commuters for weeks","road-transportation","1"
"Vehicle Parking Illegal on market area","The vehicle parking illegal on market area has been creating problems for commuters for weeks","road-transportation","1"
"Bus Stop Broken at hospital road","The condition of hospital road is very poor due to bus stop broken affecting daily travel","road-transportation","1"
"Road Debris - main road","road debris on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Manhole Cover Missing on market area","There is a major manhole cover missing on market area causing traffic problems and vehicle damage","road-transportation","1"
"Complaint about vehicle parking illegal near school zone","There is a major vehicle parking illegal on school zone causing traffic problems and vehicle damage","road-transportation","1"
"Road Flooding near commercial area","Urgent repair needed for road flooding on commercial area which is causing accidents","road-transportation","1"
"Problem with vehicle parking illegal on main road","vehicle parking illegal on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Marking Missing on housing society","Urgent repair needed for road marking missing on housing society which is causing accidents","road-transportation","1"
"Footpath Broken near school zone","Urgent repair needed for footpath broken on school zone which is causing accidents","road-transportation","1"
"Road Damage - commercial area","road damage on commercial area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Vehicle Parking Illegal at commercial area","vehicle parking illegal on commercial area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Complaint about footpath broken near highway","The condition of highway is very poor due to footpath broken affecting daily travel","road-transportation","1"
"Issue of road damage at school zone","The condition of school zone is very poor due to road damage affecting daily travel","road-transportation","1"
"Road Cave-In near highway","The condition of highway is very poor due to road cave-in affecting daily travel","road-transportation","1"
"Speed Breaker Damage on lane","The speed breaker damage on lane has been creating problems for commuters for weeks","road-transportation","1"
"Footpath Broken - hospital road","The condition of hospital road is very poor due to footpath broken affecting daily travel","road-transportation","1"
"Problem with street vendor blocking road on lane","The street vendor blocking road on lane has been creating problems for commuters for weeks","road-transportation","1"
"Complaint about pothole near hospital road","pothole on hospital road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of bridge crack at main road","The bridge crack on main road has been creating problems for commuters for weeks","road-transportation","1"
"Problem with speed breaker damage on school zone","The speed breaker damage on school zone has been creating problems for commuters for weeks","road-transportation","1"
"Urgent: road marking missing on commercial area","The condition of commercial area is very poor due to road marking missing affecting daily travel","road-transportation","1"
"Road Flooding near market area","The condition of market area is very poor due to road flooding affecting daily travel","road-transportation","1"
"Road Debris at bus route","The condition of bus route is very poor due to road debris affecting daily travel","road-transportation","1"
"Speed Breaker Damage - housing society","There is a major speed breaker damage on housing society causing traffic problems and vehicle damage","road-transportation","1"
"Flyover Problem near main road","There is a major flyover problem on main road causing traffic problems and vehicle damage","road-transportation","1"
"Vehicle Parking Illegal - hospital road","There is a major vehicle parking illegal on hospital road causing traffic problems and vehicle damage","road-transportation","1"
"Bus Stop Broken near market area","The condition of market area is very poor due to bus stop broken affecting daily travel","road-transportation","1"
"Complaint about road cave-in near commercial area","The road cave-in on commercial area has been creating problems for commuters for weeks","road-transportation","1"
"Zebra Crossing Faded on hospital road","zebra crossing faded on hospital road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Speed Breaker Damage at lane","The condition of lane is very poor due to speed breaker damage affecting daily travel","road-transportation","1"
"Road Debris in lane","road debris on lane is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Traffic Signal Not Working near highway","traffic signal not working on highway is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of manhole cover missing at bus route","The manhole cover missing on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Road Flooding in housing society","road flooding on housing society is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Manhole Cover Missing at commercial area","Urgent repair needed for manhole cover missing on commercial area which is causing accidents","road-transportation","1"
"Problem with road construction delay on school zone","Urgent repair needed for road construction delay on school zone which is causing accidents","road-transportation","1"
"Complaint about flyover problem near residential street","The flyover problem on residential street has been creating problems for commuters for weeks","road-transportation","1"
"Road Construction Delay in hospital road","The condition of hospital road is very poor due to road construction delay affecting daily travel","road-transportation","1"
"Flyover Problem on hospital road","The condition of hospital road is very poor due to flyover problem affecting daily travel","road-transportation","1"
"Road Construction Delay near commercial area","road construction delay on commercial area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Cave-In - bus route","The condition of bus route is very poor due to road cave-in affecting daily travel","road-transportation","1"
"Issue of street vendor blocking road at lane","There is a major street vendor blocking road on lane causing traffic problems and vehicle damage","road-transportation","1"
"Problem with road debris on highway","The road debris on highway has been creating problems for commuters for weeks","road-transportation","1"
"Traffic Signal Not Working - residential street","Urgent repair needed for traffic signal not working on residential street which is causing accidents","road-transportation","1"
"Traffic Signal Not Working in highway","The traffic signal not working on highway has been creating problems for commuters for weeks","road-transportation","1"
"Flyover Problem at school zone","Urgent repair needed for flyover problem on school zone which is causing accidents","road-transportation","1"
"Issue of bus stop broken at highway","bus stop broken on highway is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Traffic Signal Not Working in hospital road","Urgent repair needed for traffic signal not working on hospital road which is causing accidents","road-transportation","1"
"Issue of bus stop broken at hospital road","The bus stop broken on hospital road has been creating problems for commuters for weeks","road-transportation","1"
"Complaint about road flooding near highway","The condition of highway is very poor due to road flooding affecting daily travel","road-transportation","1"
"Urgent: pothole on lane","The pothole on lane has been creating problems for commuters for weeks","road-transportation","1"
"Urgent: road flooding on hospital road","The condition of hospital road is very poor due to road flooding affecting daily travel","road-transportation","1"
"Footpath Broken at highway","The condition of highway is very poor due to footpath broken affecting daily travel","road-transportation","1"
"Problem with pothole on housing society","The pothole on housing society has been creating problems for commuters for weeks","road-transportation","1"
"Complaint about bridge crack near market area","The condition of market area is very poor due to bridge crack affecting daily travel","road-transportation","1"
"Road Cave-In in residential street","road cave-in on residential street is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Marking Missing in housing society","There is a major road marking missing on housing society causing traffic problems and vehicle damage","road-transportation","1"
"Road Debris at bus route","road debris on bus route is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Street Vendor Blocking Road in market area","Urgent repair needed for street vendor blocking road on market area which is causing accidents","road-transportation","1"
"Road Debris at market area","The road debris on market area has been creating problems for commuters for weeks","road-transportation","1"
"Speed Breaker Damage at residential street","The speed breaker damage on residential street has been creating problems for commuters for weeks","road-transportation","1"
"Problem with road cave-in on bus route","The condition of bus route is very poor due to road cave-in affecting daily travel","road-transportation","1"
"Urgent: manhole cover missing on commercial area","The manhole cover missing on commercial area has been creating problems for commuters for weeks","road-transportation","1"
"Speed Breaker Damage - highway","The condition of highway is very poor due to speed breaker damage affecting daily travel","road-transportation","1"
"Urgent: flyover problem on bus route","There is a major flyover problem on bus route causing traffic problems and vehicle damage","road-transportation","1"
"Road Debris in school zone","road debris on school zone is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Urgent: manhole cover missing on bus route","The manhole cover missing on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Pothole on main road","pothole on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of street vendor blocking road at market area","Urgent repair needed for street vendor blocking road on market area which is causing accidents","road-transportation","1"
"Traffic Signal Not Working in market area","The traffic signal not working on market area has been creating problems for commuters for weeks","road-transportation","1"
"Bus Stop Broken near bus route","The bus stop broken on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Complaint about speed breaker damage near housing society","The condition of housing society is very poor due to speed breaker damage affecting daily travel","road-transportation","1"
"Issue of vehicle parking illegal at housing society","Urgent repair needed for vehicle parking illegal on housing society which is causing accidents","road-transportation","1"
"Road Damage near bus route","There is a major road damage on bus route causing traffic problems and vehicle damage","road-transportation","1"
"Speed Breaker Damage on market area","The speed breaker damage on market area has been creating problems for commuters for weeks","road-transportation","1"
"Road Flooding near school zone","The road flooding on school zone has been creating problems for commuters for weeks","road-transportation","1"
"Bridge Crack on commercial area","The condition of commercial area is very poor due to bridge crack affecting daily travel","road-transportation","1"
"Flyover Problem in bus route","flyover problem on bus route is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Urgent: flyover problem on market area","flyover problem on market area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Urgent: flyover problem on residential street","flyover problem on residential street is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of footpath broken at market area","Urgent repair needed for footpath broken on market area which is causing accidents","road-transportation","1"
"Bridge Crack - bus route","The bridge crack on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Street Vendor Blocking Road in school zone","The street vendor blocking road on school zone has been creating problems for commuters for weeks","road-transportation","1"
"Road Flooding at commercial area","road flooding on commercial area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Cave-In near highway","The condition of highway is very poor due to road cave-in affecting daily travel","road-transportation","1"
"Issue of traffic signal not working at residential street","The traffic signal not working on residential street has been creating problems for commuters for weeks","road-transportation","1"
"Issue of bridge crack at residential street","bridge crack on residential street is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Manhole Cover Missing near highway","There is a major manhole cover missing on highway causing traffic problems and vehicle damage","road-transportation","1"
"Urgent: bridge crack on hospital road","There is a major bridge crack on hospital road causing traffic problems and vehicle damage","road-transportation","1"
"Flyover Problem in commercial area","The condition of commercial area is very poor due to flyover problem affecting daily travel","road-transportation","1"
"Road Marking Missing near bus route","The road marking missing on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Vehicle Parking Illegal - market area","vehicle parking illegal on market area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Problem with bridge crack on bus route","There is a major bridge crack on bus route causing traffic problems and vehicle damage","road-transportation","1"
"Complaint about bus stop broken near bus route","The bus stop broken on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Flyover Problem near commercial area","The flyover problem on commercial area has been creating problems for commuters for weeks","road-transportation","1"
"Issue of road digging unauthorized at housing society","Urgent repair needed for road digging unauthorized on housing society which is causing accidents","road-transportation","1"
"Urgent: road marking missing on market area","There is a major road marking missing on market area causing traffic problems and vehicle damage","road-transportation","1"
"Issue of speed breaker damage at market area","There is a major speed breaker damage on market area causing traffic problems and vehicle damage","road-transportation","1"
"Urgent: bridge crack on highway","Urgent repair needed for bridge crack on highway which is causing accidents","road-transportation","1"
"Road Damage at hospital road","There is a major road damage on hospital road causing traffic problems and vehicle damage","road-transportation","1"
"Zebra Crossing Faded in residential street","Urgent repair needed for zebra crossing faded on residential street which is causing accidents","road-transportation","1"
"Traffic Signal Not Working near bus route","Urgent repair needed for traffic signal not working on bus route which is causing accidents","road-transportation","1"
"Problem with road cave-in on main road","road cave-in on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Flyover Problem in bus route","The condition of bus route is very poor due to flyover problem affecting daily travel","road-transportation","1"
"Bus Stop Broken - school zone","The condition of school zone is very poor due to bus stop broken affecting daily travel","road-transportation","1"
"Road Debris at commercial area","Urgent repair needed for road debris on commercial area which is causing accidents","road-transportation","1"
"Road Digging Unauthorized on market area","The condition of market area is very poor due to road digging unauthorized affecting daily travel","road-transportation","1"
"Bridge Crack near housing society","bridge crack on housing society is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of traffic signal not working at school zone","The traffic signal not working on school zone has been creating problems for commuters for weeks","road-transportation","1"
"Pothole - lane","Urgent repair needed for pothole on lane which is causing accidents","road-transportation","1"
"Road Construction Delay in housing society","The road construction delay on housing society has been creating problems for commuters for weeks","road-transportation","1"
